,datetime,Maesang (Cakalang),Deho (Tongkol),Malalugis (Layang),Tude (Selar),B. Tuna (Panitang),sst_dailymean (C),chlorofil_dailymean (mg/m^3),eastward_seawater_dailymean (m/s),northward_seawater_dailymean (m/s),eastward_wind_dailymean (m/s),northward_wind_dailymean (m/s),season,wind_magnitude_dailymean (m/s),wind_direction,seawater_magnitude_dailymean (m/s),seawater_direction
69,3/14/2018,1320,840,870,370,800,29.04214057,0.171855664,-0.143785778,0.064655643,2.132034171,-1.485770291,Peralihan 1,2.598669479547155,South East,0.1576537412394921,North West
70,3/15/2018,5180,4935,4153,0,2381,29.35785786,0.169864166,-0.028251419,0.050660725,3.829646679,-1.423917843,Peralihan 1,4.085796826763355,East,0.05800561811617204,North West
71,3/16/2018,13587,12371,6845,1635,9373,29.29785579,0.133074709,0.104678485,-0.020098618,4.572974114,-1.998404052,Peralihan 1,4.990562193016344,South East,0.10659052334708348,East
72,3/17/2018,6479,5862,854,380,2520,29.43928093,0.133216854,0.058203158,-0.127131391,-2.553209114,-0.574316571,Peralihan 1,2.617005216566804,West,0.1398213080283826,South East
73,3/18/2018,19154,5825,4947,215,9058,29.37999821,0.12039809,-0.119370969,-0.086236587,-3.060749279,-1.974121207,Peralihan 1,3.642161540737335,South West,0.14726227343555284,South West
74,3/19/2018,7511,6146,3149,0,2620,29.18571471,0.117555536,-0.189127563,-0.026769092,-0.826675281,-2.8198955,Peralihan 1,2.938571532417865,South,0.19101261574258238,West
75,3/20/2018,4540,1110,1600,0,3340,29.1178545,0.149618762,-0.14661964,0.012251001,1.058251231,-3.756737171,Peralihan 1,3.902943740292204,South,0.14713057418236225,West
76,3/21/2018,2185,1130,670,0,1160,29.33428736,0.146545515,-0.060862628,-8.72e-05,-0.196243111,-0.418809646,Peralihan 1,0.4625071655635225,South West,0.06086269046720153,West
77,3/22/2018,1730,750,1070,0,1280,29.34571607,0.136759179,-0.016349202,0.095740922,1.159475589,1.463093443,Peralihan 1,1.866822451235385,North East,0.09712682714598932,
78,3/23/2018,12879,8736,8128,100,8652,29.42857364,0.143669085,0.018441899,0.138510437,-2.044901778,-2.895573843,Peralihan 1,3.5448513596388422,South West,0.1397327620733848,
79,3/24/2018,19031,13185,4949,300,10220,29.47142686,0.126899385,-0.044775012,0.087762513,-2.824380736,-4.028375621,Peralihan 1,4.919851286955231,South West,0.09852441518565494,North West
80,3/25/2018,10860,8711,3071,200,5037,29.54070814,0.136699155,-0.039804855,0.056590037,4.959179864,-2.266727521,Peralihan 1,5.452661604937708,South East,0.06918712863844254,North West
81,3/26/2018,4710,3123,3255,60,2110,29.3978575,0.12753642,0.112787692,0.084667064,4.595990257,0.628584605,Peralihan 1,4.638776244666468,East,0.14103040520776702,North East
82,3/27/2018,17571,5587,5282,0,10185,29.24499286,0.125180355,0.207177078,0.072241672,5.790665936,0.724422149,Peralihan 1,5.8358032379709766,East,0.21941103167793014,East
83,3/28/2018,10602,6518,5700,50,6659,29.19928636,0.125710576,0.255919497,0.070497757,6.50795485,-2.798361746,Peralihan 1,7.084088141117013,South East,0.2654519216106074,East
84,3/29/2018,24424,18258,9989,200,12360,29.09142421,0.129490473,0.25862257,0.036317027,6.244641257,0.496201601,Peralihan 1,6.264324421472877,East,0.2611600278823764,East
85,3/30/2018,6880,3420,3590,100,4926,28.9785745,0.137796556,0.227450091,0.06038305,6.6274526,0.401765518,Peralihan 1,6.639619228291677,East,0.23532882658784235,East
86,3/31/2018,1813,2182,812,0,920,28.96999893,0.154000997,0.197934334,0.150412656,5.245556,0.103391699,Peralihan 1,5.246574843891785,East,0.2486000154082817,North East
87,4/1/2018,0,0,50,80,0,28.990714,0.160268887,0.149540696,0.22500861,4.634327243,0.349858014,Peralihan 1,4.64751434910878,East,0.27016901068460186,North East
88,4/2/2018,1800,2500,1500,0,1300,29.029286,0.155021238,0.162489265,0.295419169,4.279018864,-0.050120855,Peralihan 1,4.279312390860684,East,0.33715759913264715,North East
89,4/3/2018,2790,1480,970,0,2290,29.03571643,0.136556857,0.189476346,0.291102983,2.583591679,0.750564521,Peralihan 1,2.6904076018295067,East,0.3473359071633827,North East
90,4/4/2018,17711,10788,5707,0,6173,29.15856721,0.138083966,0.216550627,0.261456425,3.581258621,-0.390538121,Peralihan 1,3.6024898798526874,East,0.339490259400581,North East
91,4/5/2018,8500,5260,2180,660,2480,29.25571336,0.111991611,0.16567191,0.206043536,-0.311858371,-1.98061645,Peralihan 1,2.0050179963215733,South,0.26438820036157323,North East
92,4/6/2018,22166,18666,8999,570,12112,29.41000364,0.095592235,0.016479994,0.24811548,-1.925543511,-0.54316129,Peralihan 1,2.0006853824898787,West,0.24866218373100168,
93,4/7/2018,39580,26985,19226,454,26406,29.38856929,0.103540091,-0.035270678,0.366352905,-0.760533031,-0.088148619,Peralihan 1,0.7656243663008997,West,0.3680468336075162,
94,4/8/2018,8550,4000,3680,25,5420,29.30142629,0.10500473,-0.017831529,0.415051731,-4.042188779,-0.255298329,Peralihan 1,4.050242876898088,West,0.4154345951321028,
95,4/9/2018,14963,7883,6343,240,8596,29.51428443,0.104490099,0.022583697,0.469592669,-4.715142593,-0.325424644,Peralihan 1,4.726359155972522,West,0.4701354040579494,
96,4/10/2018,3333,1681,1265,0,1670,29.48214286,0.101589449,-0.000871958,0.348303391,-4.595761143,-2.274489436,Peralihan 1,5.127799009125091,South West,0.3483044824472586,
97,4/11/2018,10420,4570,5110,100,6780,29.29357036,0.101567309,-0.082574367,0.234251361,-4.691754564,-1.599368479,Peralihan 1,4.956868005145346,West,0.2483791984361875,
98,4/12/2018,13235,6595,2508,300,6312,29.19428793,0.128977349,-0.166718254,0.214239937,-4.45933835,-1.643271524,Peralihan 1,4.752477229968599,West,0.27146588519107234,North West
99,4/13/2018,13110,8778,6015,70,6665,29.51571221,0.132663275,-0.212670412,0.184942169,-4.871489486,-2.063005464,Peralihan 1,5.290312028293076,South West,0.281837382216544,North West
100,4/14/2018,20932,12813,13082,1040,11103,29.5707115,0.155611252,-0.246589559,0.06038305,-3.754789593,-2.497616214,Peralihan 1,4.509604377341409,South West,0.25387501518486805,West
101,4/15/2018,3731,2805,2000,20,1855,29.44500286,0.164487413,-0.324237362,-0.007019257,-1.490260006,-1.926094681,Peralihan 1,2.435306059956245,South West,0.324313331341083,West
102,4/16/2018,19185,12593,9904,100,10170,29.28928264,0.164478456,-0.344641162,-0.001264337,-0.586354571,-0.477212315,Peralihan 1,0.7560048124980775,South West,0.34464348114067067,West
103,4/17/2018,4230,3650,2050,0,1961,29.1492855,0.147896139,-0.250731358,-0.011640633,0.279632443,1.328769924,Peralihan 1,1.3578747416846348,,0.2510014307153743,West
104,4/18/2018,3815,3051,1511,0,2600,29.36999957,0.148577291,-0.194054121,-0.117452661,0.219813816,-0.940930183,Peralihan 1,0.9662648306675016,South,0.22683061842058175,South West
105,4/19/2018,12293,8096,4870,60,4341,29.15142829,0.139982309,-0.135196997,-0.10171383,2.185110693,-0.881584196,Peralihan 1,2.3562468960828165,East,0.16918608456692563,South West
106,4/20/2018,16297,5960,6810,200,7760,29.34571393,0.14571552,-0.15952461,-0.111000179,-1.201024214,-0.375283897,Peralihan 1,1.2582913676735703,West,0.1943428437933441,South West
107,4/21/2018,17590,5883,4482,80,10666,29.38213893,0.138530161,-0.274622986,0.005188147,-2.117181671,-0.309847025,Peralihan 1,2.139734424390023,West,0.27467198857701125,West
108,4/22/2018,11745,9970,4428,120,9601,29.33142514,0.134724247,-0.225183004,0.088678068,-2.003472771,-1.289513559,Peralihan 1,2.382592781610669,South West,0.242014844657671,West
109,4/23/2018,6568,4325,3082,0,3328,29.70785529,0.146752372,-0.17447868,0.179405238,-2.93695045,-1.502264236,Peralihan 1,3.2988597697567967,South West,0.2502579653005655,North West
110,4/24/2018,3110,1525,1590,0,2420,29.54857293,0.128204588,-0.145616887,0.225052208,0.487474902,-0.370055406,Peralihan 1,0.6120235155529029,South East,0.26805367765663285,North West
111,4/25/2018,10730,3960,2821,0,4466,29.61285821,0.12726161,0.030344118,0.176571379,3.889907071,0.958733567,Peralihan 1,4.006313401808244,East,0.1791597537929754,
112,4/26/2018,8745,2851,1041,60,3069,29.63999729,0.138296851,0.225488185,0.179884816,3.153182293,1.041661625,Peralihan 1,3.3207856771984514,East,0.2884501145812705,North East
113,4/27/2018,24221,13602,7470,300,11943,29.669283,0.138003962,0.278503198,0.173606721,-0.324947321,0.588481605,Peralihan 1,0.672236090111542,North West,0.3281818472624576,North East
114,4/28/2018,13649,5962,6458,0,6924,29.60785343,0.135624604,0.235646491,0.120024938,3.642263014,0.189230431,Peralihan 1,3.647175348015065,East,0.26445274523535756,North East
115,4/29/2018,14240,6345,3700,0,5715,29.61285621,0.133864756,0.237782786,0.008719573,5.711155714,2.120480693,Peralihan 1,6.092104559094551,East,0.2379426070951231,East
116,4/30/2018,14490,10274,7336,0,9544,29.61356907,0.128873105,0.170162489,-0.041112792,3.347587107,1.989310464,Peralihan 1,3.894059008429703,North East,0.1750586596792926,East
117,5/1/2018,4262,2700,2865,0,3211,29.65643079,0.134024732,0.085233838,0.05711321,2.075702771,2.04639255,Peralihan 1,2.914835237579061,North East,0.1025998338045162,North East
118,5/2/2018,1200,800,900,0,500,29.90642671,0.137007704,0.086454577,0.172298786,3.265659029,2.503857786,Peralihan 1,4.115073839702277,North East,0.19277257466071965,North East
119,5/3/2018,9502,6856,3285,80,4193,29.66642971,0.140671276,0.172865559,0.164494766,0.586351184,-0.018426499,Peralihan 1,0.5866406454070489,East,0.23862319570774596,North East
120,5/4/2018,14195,8387,4332,0,7811,29.84356914,0.140853981,0.145268107,0.08231278,-0.792639348,0.524122768,Peralihan 1,0.9502535513923888,North West,0.16696771143754666,North East
121,5/5/2018,19398,12149,7531,330,12445,29.75000214,0.116874112,0.053320196,0.02842581,-0.828651419,1.035624606,Peralihan 1,1.3263413960075925,North West,0.060424084400464984,North East
122,5/6/2018,16405,11625,8432,0,11082,29.97070957,0.119719483,-0.014387298,0.032698403,0.279795179,-0.185657108,Peralihan 1,0.3357884809557435,South East,0.0357236602616699,North West
123,5/7/2018,8620,3521,1630,0,5725,30.10713843,0.110931487,-0.071413311,0.060819029,-0.046475632,0.842251625,Peralihan 1,0.8435329182580488,,0.09380200038637534,North West
124,5/8/2018,4513,2121,1060,0,1841,30.27356821,0.110260342,-0.015869624,0.080045689,1.682592286,1.032929512,Peralihan 1,1.974350571116301,North East,0.08160365980387214,
125,5/9/2018,19065,11125,7757,650,9322,29.9971445,0.102359704,0.050050356,0.067402308,-0.449862034,1.677272496,Peralihan 1,1.7365537352678402,,0.08395301816762515,North East
126,5/10/2018,11980,3001,2300,0,6550,30.15285364,0.100751359,-0.007629628,0.047042102,-0.351171747,0.570343631,Peralihan 1,0.6697861250528381,North West,0.047656799976464936,
127,5/11/2018,13731,3740,5910,170,7460,30.16428036,0.093033234,-0.058290355,0.058813528,0.03810278,1.02664995,Peralihan 1,1.0273567742895993,,0.08280577613809806,North West
128,5/12/2018,27447,14730,11126,80,15656,30.57285414,0.093131587,-0.049047604,0.104198912,-0.586122066,0.445021774,Peralihan 1,0.7359235392255201,North West,0.11516544933322911,North West
129,5/13/2018,11780,8218,4753,0,6617,30.80356714,0.091390748,-0.067227917,0.100667483,-3.008625879,0.239197475,Peralihan 1,3.018119466130341,West,0.12105178626403734,North West
130,5/14/2018,6086,3998,2764,0,2281,30.18999593,0.089977476,-0.134761019,0.142041863,-2.914399346,0.555951841,Peralihan 1,2.9669523079207925,West,0.1957968924330239,North West
131,5/15/2018,11631,7328,4156,300,6450,30.08285536,0.090269746,-0.164974341,0.242229774,-5.251673743,1.903768157,Peralihan 1,5.586090788603673,West,0.2930730226419268,North West
132,5/16/2018,6990,3850,4430,0,3250,30.15857371,0.090210224,-0.183023859,0.259363735,-4.830107029,-0.657055925,Peralihan 1,4.874592947126232,West,0.3174386239832861,North West
133,5/17/2018,11991,7558,3802,0,7103,29.9185705,0.104820318,-0.164015189,0.257794206,-1.086013414,1.841996636,Peralihan 1,2.13831165699092,North West,0.3055467801661084,North West
134,5/18/2018,6306,4830,3133,0,2287,30.14142279,0.111437686,-0.099359548,0.289751444,-0.401900176,2.716204214,Peralihan 1,2.7457765902600646,,0.3063139224371779,
135,5/19/2018,25158,12775,8176,684,15690,30.225708,0.115073786,-0.076906644,0.290492608,-2.058804473,2.840421057,Peralihan 1,3.5080860364440616,North West,0.30050056105435874,
136,5/20/2018,14733,7220,7380,65,4686,30.01356964,0.112889728,-0.087718916,0.295288379,-1.514996526,1.446329944,Peralihan 1,2.094536889315419,North West,0.30804193707458516,
137,5/21/2018,14707,4881,5080,170,9655,30.26642507,0.114297252,-0.061560193,0.280465104,-4.566212121,0.663836442,Peralihan 1,4.614214121136398,West,0.2871416582872086,
138,5/22/2018,11170,6920,2700,0,3190,30.15713936,0.111631529,-0.144221759,0.224398238,-5.337461121,1.323622328,Peralihan 1,5.4991333212940665,West,0.2667479802858097,North West
139,5/23/2018,8310,2460,520,0,4490,30.15785421,0.110658957,-0.260453678,0.183721425,-5.874247943,1.227030154,Peralihan 1,6.001032569038848,West,0.3187313608475926,North West
140,5/24/2018,14133,7573,3213,0,5052,29.90785207,0.103873495,-0.275494946,0.2620668,-5.360151743,1.520957058,Peralihan 1,5.571762475219664,West,0.38023213032801806,North West
141,5/25/2018,19971,9230,4752,70,10894,29.61642671,0.115988291,-0.221695174,0.270699173,-4.661996279,-0.625738956,Peralihan 1,4.703802562445177,West,0.34989540213865944,North West
142,5/26/2018,26425,17294,8430,75,12451,29.794996,0.107407757,-0.211406076,0.234294958,-4.345094757,0.078138657,Peralihan 1,4.345797291294964,West,0.3155735355094586,North West
143,5/27/2018,13141,6680,3495,0,8803,29.96142786,0.110281789,-0.146706834,0.221259193,-4.917800621,1.580707321,Peralihan 1,5.165597601688596,West,0.2654779192876779,North West
144,5/28/2018,1830,260,1230,100,1130,29.79285757,0.108253697,0.03256761,0.237913581,0.413707115,1.438648916,Peralihan 1,1.496951662716468,,0.24013229946293285,
145,5/29/2018,10310,5870,3094,0,5322,29.87356564,0.103024029,0.153072124,0.151676994,2.79782745,0.355517721,Peralihan 1,2.82032467810331,East,0.2154924259800038,North East
146,5/30/2018,1700,500,1570,0,1775,29.79714093,0.101350707,0.273751026,0.08641098,1.971153836,2.7784339,Peralihan 1,3.406632117186522,North East,0.2870652917031473,East
147,5/31/2018,13846,9188,5371,245,7830,29.99499721,0.101061103,0.266644576,0.129006097,0.2312986,2.940193421,Peralihan 1,2.949277266594927,,0.29621259759401386,North East
148,6/1/2018,11355,5290,3560,0,4086,29.84142421,0.099390273,0.255003942,0.173432328,3.912365293,2.241517314,Timur,4.508991245814606,North East,0.30839225481687915,North East
149,6/2/2018,14924,8652,3991,1100,7472,29.72642729,0.093274185,0.32135991,0.18646809,3.706243157,-1.366808851,Timur,3.950241103272212,East,0.37154076538578673,North East
150,6/3/2018,13118,6570,4630,20,7872,29.34642686,0.095743707,0.307059802,0.130139643,3.892371421,-0.015461946,Timur,3.892402131177053,East,0.3334996981774446,North East
151,6/4/2018,7315,4062,1690,460,4022,29.76785493,0.103521409,0.212452422,0.189999523,1.93191025,2.623034829,Timur,3.257696874818485,North East,0.2850190350729116,North East
